epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,104.223,0.89262,1.57481,1.32809,0.75509,0.38902,0.46124,0.35174,1.70214,2.24619,1.48516,2.95535e-05,2.95535e-05,2.95535e-05
59,105.99,0.9741,1.04286,1.29616,0.75509,0.38902,0.46124,0.35174,1.70214,2.24619,1.48516,2.93887e-05,2.93887e-05,2.93887e-05
60,107.803,1.14149,0.86133,1.66307,0.74906,0.38944,0.42866,0.30207,1.73943,2.30906,1.51115,2.92003e-05,2.92003e-05,2.92003e-05
61,109.568,0.76419,0.84499,1.13088,0.74906,0.38944,0.42866,0.30207,1.73943,2.30906,1.51115,2.89884e-05,2.89884e-05,2.89884e-05
62,111.338,0.78221,1.00542,1.08383,0.74906,0.38944,0.42866,0.30207,1.73943,2.30906,1.51115,2.87529e-05,2.87529e-05,2.87529e-05
63,113.153,0.71376,0.88381,1.13072,0.7436,0.39266,0.42865,0.29355,1.73306,2.26954,1.4872,2.84938e-05,2.84938e-05,2.84938e-05
64,114.965,0.67374,0.80618,1.10104,0.7436,0.39266,0.42865,0.29355,1.73306,2.26954,1.4872,2.82112e-05,2.82112e-05,2.82112e-05
65,116.821,0.64965,1.01473,1.24303,0.7436,0.39266,0.42865,0.29355,1.73306,2.26954,1.4872,2.7905e-05,2.7905e-05,2.7905e-05
66,118.645,0.73221,1.16456,1.10981,0.74517,0.3928,0.42868,0.30389,1.70766,2.2322,1.44772,2.75753e-05,2.75753e-05,2.75753e-05
67,120.423,0.79573,1.18933,1.11862,0.74517,0.3928,0.42868,0.30389,1.70766,2.2322,1.44772,2.7222e-05,2.7222e-05,2.7222e-05
68,122.227,1.27466,2.18705,1.61683,0.74517,0.3928,0.42868,0.30389,1.70766,2.2322,1.44772,2.68451e-05,2.68451e-05,2.68451e-05
69,124.063,0.76593,1.20496,1.18963,0.7427,0.39401,0.42846,0.29893,1.74548,2.34889,1.49772,2.64447e-05,2.64447e-05,2.64447e-05
70,125.868,1.00094,1.13481,1.44408,0.7427,0.39401,0.42846,0.29893,1.74548,2.34889,1.49772,2.60207e-05,2.60207e-05,2.60207e-05
71,127.642,1.03847,1.6038,1.39755,0.7427,0.39401,0.42846,0.29893,1.74548,2.34889,1.49772,2.55731e-05,2.55731e-05,2.55731e-05
72,129.485,0.64902,0.73408,1.10284,0.74049,0.39821,0.42817,0.29933,1.75219,2.37597,1.5066,2.5102e-05,2.5102e-05,2.5102e-05
73,131.298,0.70707,1.00399,1.09066,0.74049,0.39821,0.42817,0.29933,1.75219,2.37597,1.5066,2.46073e-05,2.46073e-05,2.46073e-05
74,133.098,0.76582,0.76558,1.20426,0.74049,0.39821,0.42817,0.29933,1.75219,2.37597,1.5066,2.40891e-05,2.40891e-05,2.40891e-05
75,134.909,0.72396,0.67268,1.12378,0.73336,0.4,0.42814,0.30055,1.75134,2.38789,1.49413,2.35472e-05,2.35472e-05,2.35472e-05
76,136.729,0.68358,0.97967,1.19801,0.73336,0.4,0.42814,0.30055,1.75134,2.38789,1.49413,2.29819e-05,2.29819e-05,2.29819e-05
77,138.533,0.66507,0.66942,1.09952,0.73336,0.4,0.42814,0.30055,1.75134,2.38789,1.49413,2.23929e-05,2.23929e-05,2.23929e-05
78,140.37,0.84847,1.17205,1.20301,0.72206,0.4,0.42926,0.30147,1.77141,2.42886,1.52631,2.17805e-05,2.17805e-05,2.17805e-05
79,142.147,0.70316,0.94905,1.14695,0.72206,0.4,0.42926,0.30147,1.77141,2.42886,1.52631,2.11444e-05,2.11444e-05,2.11444e-05
80,143.949,0.7384,0.7884,1.13805,0.72206,0.4,0.42926,0.30147,1.77141,2.42886,1.52631,2.04848e-05,2.04848e-05,2.04848e-05
81,145.758,0.51876,0.52434,0.99214,0.7244,0.4,0.42904,0.29823,1.78522,2.46469,1.55191,1.98016e-05,1.98016e-05,1.98016e-05
82,147.563,0.81371,0.78854,1.16572,0.7244,0.4,0.42904,0.29823,1.78522,2.46469,1.55191,1.90949e-05,1.90949e-05,1.90949e-05
83,149.319,0.82695,0.8808,1.19547,0.7244,0.4,0.42904,0.29823,1.78522,2.46469,1.55191,1.83646e-05,1.83646e-05,1.83646e-05
84,151.18,0.62502,0.73928,1.0521,0.73532,0.4,0.43148,0.29902,1.80778,2.51885,1.56395,1.76107e-05,1.76107e-05,1.76107e-05
85,153.134,0.61503,0.75035,1.13233,0.73532,0.4,0.43148,0.29902,1.80778,2.51885,1.56395,1.68333e-05,1.68333e-05,1.68333e-05
86,156.071,0.95932,0.84828,1.23477,0.73532,0.4,0.43148,0.29902,1.80778,2.51885,1.56395,1.60323e-05,1.60323e-05,1.60323e-05
87,159.52,0.66739,0.69833,1.03006,0.73532,0.4,0.43148,0.29902,1.80778,2.51885,1.56395,1.52077e-05,1.52077e-05,1.52077e-05
88,161.546,0.91208,1.10168,1.44873,0.7382,0.4,0.42933,0.28243,1.7826,2.48685,1.52587,1.43596e-05,1.43596e-05,1.43596e-05
89,164.106,1.06774,1.13943,1.53415,0.7382,0.4,0.42933,0.28243,1.7826,2.48685,1.52587,1.34879e-05,1.34879e-05,1.34879e-05
90,167.068,0.61998,0.7059,1.00565,0.7382,0.4,0.42933,0.28243,1.7826,2.48685,1.52587,1.25927e-05,1.25927e-05,1.25927e-05
91,168.905,0.53734,0.57884,0.95924,0.7382,0.4,0.42933,0.28243,1.7826,2.48685,1.52587,1.16739e-05,1.16739e-05,1.16739e-05
92,170.856,0.89208,0.88502,1.05919,0.73841,0.4,0.42844,0.29966,1.78902,2.49389,1.52722,1.07315e-05,1.07315e-05,1.07315e-05
93,172.736,0.46659,0.50644,0.97021,0.73841,0.4,0.42844,0.29966,1.78902,2.49389,1.52722,9.76562e-06,9.76562e-06,9.76562e-06
94,174.482,0.70157,0.60369,0.94931,0.73841,0.4,0.42844,0.29966,1.78902,2.49389,1.52722,8.77613e-06,8.77613e-06,8.77613e-06
95,176.301,0.46474,0.49919,0.94689,0.73841,0.4,0.42844,0.29966,1.78902,2.49389,1.52722,7.76308e-06,7.76308e-06,7.76308e-06
96,178.056,0.50136,0.65527,1.02336,0.90937,0.3951,0.42335,0.29803,1.77086,2.50529,1.50598,6.72648e-06,6.72648e-06,6.72648e-06
97,179.889,0.68101,0.83181,1.07788,0.90937,0.3951,0.42335,0.29803,1.77086,2.50529,1.50598,5.6663e-06,5.6663e-06,5.6663e-06
98,182.072,0.51682,0.53601,0.93797,0.90937,0.3951,0.42335,0.29803,1.77086,2.50529,1.50598,4.58257e-06,4.58257e-06,4.58257e-06
99,184.122,0.57431,0.66469,0.96876,0.90937,0.3951,0.42335,0.29803,1.77086,2.50529,1.50598,3.47528e-06,3.47528e-06,3.47528e-06
100,186.022,0.58896,0.65549,1.01704,0.91429,0.39617,0.46798,0.3366,1.74087,2.46254,1.46734,2.34442e-06,2.34442e-06,2.34442e-06
